00000000000000000000000010000001	256	add x1, x0, x0
00000000001100000000000100000010	260	addi x2, x0, #3
00000000001000001000101100000000	264	beq x1, x2, #22
00000000001000001000001100001110	268	sll x6, x1, #2
00010011100000110000000110010110	272	lw x3, 312(x6)
00010100010000110000001000010110	276	lw x4, 324(x6)
00000000010000011000001010000001	280	add x5, x3, x4
00000000000000101000001100001000	284	blt x5, x0, #6
00000000010000011000001010000101	288	sub x5, x3, x4
00000000000000000100001110000011	292	jal x7, #4
00010100011000101000001000001100	296	sw x5, 324(x6)
00000000000100001000000010000010	300	addi x1, x1, #1
11111111111111101100010000000011	304	jal x8, #-20
00000000000000000000000001111111	308	break
11111111111111111111111111111111	312	-1
11111111111111111111111111111110	316	-2
11111111111111111111111111111100	320	-4
00000000000000000000000000000001	324	1
00000000000000000000000000000010	328	2
00000000000000000000000000000011	332	3
11111111111111111111111111111100	336	-4
00000000000000000000000000001010	340	10
00000000000000000000000000000111	344	7
00000000000000000000000000001001	348	9
00000000000000000000000000000001	352	1
00000000000000000000000000000000	356	0
11111111111111111111111111111111	360	-1
